timestamp_ms,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,650,500,350,500,500,500,835,695,465,500,650,500,445,500,205,335
1000,650,445,425,510,425,500,835,695,445,500,650,500,410,500,205,335
2000,650,445,425,510,460,500,835,695,445,500,650,500,410,500,205,335
3000,625,390,425,490,460,500,835,695,445,500,650,500,420,500,205,335
4000,580,410,425,450,495,500,835,695,490,520,650,500,475,500,205,335
5000,535,455,425,395,460,500,835,695,535,520,650,500,475,500,205,335
6500,610,630,405,500,500,675,490,150,515,495,675,500,460,250,195,530
7500,610,630,405,500,500,650,510,250,540,520,650,500,445,250,310,880
8500,530,500,545,500,500,750,805,595,540,500,650,500,445,275,160,435
9500,530,500,545,500,500,750,805,595,525,500,650,500,445,275,160,435
10500,695,500,545,500,500,500,835,695,500,500,650,500,445,500,205,335
11500,715,500,545,455,465,345,570,695,500,500,650,510,445,640,370,335
12500,695,500,545,500,410,355,485,695,505,565,585,510,435,585,575,335
13500,695,500,555,565,445,215,415,695,555,535,670,510,445,640,675,335
14500,510,500,490,610,490,355,485,695,540,500,705,500,455,640,575,335
15500,510,500,290,500,490,475,485,695,540,500,705,500,455,500,565,335
