timestamp_ms,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,552,455,444,624,538,575,800,725,538,545,556,376,519,425,200,275
300,530,519,427,661,530,575,800,781,530,582,562,444,519,425,200,416
600,462,455,444,624,481,575,800,725,448,612,509,418,462,425,200,275
900,470,418,438,556,481,575,800,584,470,481,573,339,470,425,200,219
1200,552,388,492,582,538,575,800,725,538,545,556,376,519,425,200,275
1500,530,519,427,661,530,575,800,781,530,582,562,444,519,425,200,416
1800,462,455,444,624,481,575,800,725,448,612,509,418,462,425,200,275
2100,470,418,438,556,481,575,800,584,470,481,573,339,470,425,200,219
2400,552,388,492,582,538,575,800,725,538,545,556,376,519,425,200,275
2700,530,519,427,661,530,575,800,781,530,582,562,444,519,425,200,416
3000,462,455,444,624,481,575,800,725,448,612,509,418,462,425,200,275
3300,470,418,438,556,481,575,800,584,470,481,573,339,470,425,200,219
3600,552,388,492,582,538,575,800,725,538,545,556,376,519,425,200,275
3900,552,455,444,624,538,575,800,725,538,545,556,376,519,425,200,275
