timestamp_ms,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,500,500,305,500,500,500,810,705,500,500,715,500,500,500,195,295
30000,500,500,305,500,565,500,605,705,500,500,715,500,565,500,410,295
31000,500,500,305,500,585,640,470,185,565,500,715,500,575,395,270,215
32000,705,500,305,500,585,650,265,765,560,500,715,500,555,665,680,320
37000,705,500,305,500,585,650,265,765,560,500,715,500,555,665,680,320
38000,705,500,305,500,585,650,265,765,555,500,715,500,510,665,680,320
39000,705,500,305,500,585,260,405,665,560,500,715,500,530,590,590,320
40000,520,500,440,500,655,150,400,695,575,500,715,500,595,435,725,305
41000,1000,360,305,500,770,260,280,705,610,500,715,500,635,770,705,295
43000,500,500,305,500,500,705,705,555,500,500,715,500,500,205,345,480
44000,500,500,305,500,500,500,810,705,500,500,715,500,500,500,195,295
45000,500,500,305,500,500,500,645,705,360,500,715,500,410,500,445,295
46000,455,500,305,500,465,500,645,605,380,500,550,480,430,500,445,815
47000,435,500,305,500,500,335,645,705,360,500,440,620,455,675,445,295
51000,435,500,305,500,500,335,645,705,360,500,440,620,455,675,445,295
52000,420,500,305,565,455,675,125,800,360,500,440,620,410,350,910,255
53000,455,500,305,500,510,335,645,105,360,620,660,915,475,675,445,905
54000,465,500,305,480,545,815,295,65,500,500,520,750,550,700,150,1000
56000,465,500,305,480,545,815,295,65,500,500,520,750,550,700,150,1000
57000,455,500,305,480,425,815,295,65,390,545,555,475,365,700,150,1000
58000,455,500,305,480,455,815,435,435,315,545,655,485,365,570,335,715
59000,540,500,305,480,490,815,295,65,380,545,655,485,385,700,150,1000
60000,705,500,300,500,635,785,785,0,500,535,570,415,500,305,490,970
63000,705,500,300,500,635,785,785,0,500,535,570,415,500,305,490,970
64000,500,500,305,500,500,500,645,705,360,500,715,500,500,500,445,295
65000,500,500,305,500,500,500,810,705,425,500,715,500,480,500,195,295
66000,490,500,305,500,480,500,810,705,405,500,695,565,455,500,195,295
67000,445,500,330,500,500,500,835,695,545,490,605,500,470,500,205,335
68000,425,500,315,500,500,705,715,695,545,490,440,500,415,1000,565,160
70000,500,490,350,500,480,785,750,695,400,605,640,595,465,185,380,285
71000,555,490,350,500,515,705,735,675,540,605,685,595,530,295,285,295
72000,555,490,427,500,490,705,735,675,540,605,640,630,465,295,285,295
74000,545,445,330,500,525,565,675,600,560,520,790,700,465,425,365,435
75500,500,445,330,500,525,565,675,600,575,520,790,680,465,425,365,435
77500,500,325,500,360,500,885,270,75,540,640,640,600,500,260,325,1000
78500,500,500,500,360,500,885,270,75,540,605,585,500,500,260,325,1000
80500,500,500,500,360,500,785,445,390,540,555,640,445,500,185,565,500
81500,500,490,565,360,500,840,620,705,540,555,640,445,510,250,325,285
82500,500,490,230,75,500,590,650,705,560,555,675,445,500,415,450,285
83500,500,490,230,75,500,415,455,705,560,555,675,445,500,630,605,285
84500,500,490,230,75,500,675,640,705,560,555,675,445,500,345,475,285
85500,500,490,230,75,500,470,315,705,560,555,675,445,500,355,770,285
86500,500,490,230,75,500,710,775,705,560,555,650,435,500,180,410,285
87500,500,490,565,360,500,470,315,705,540,555,640,500,500,355,770,285
88500,500,360,500,500,500,765,835,390,540,535,640,500,500,315,195,620
89500,595,500,350,500,500,785,750,175,540,500,650,465,490,185,400,920
90500,500,500,340,500,500,200,500,605,500,500,650,500,500,575,730,1000
91500,500,500,340,500,500,0,750,775,500,500,650,500,480,410,850,1000
92500,650,500,350,500,500,280,305,660,465,500,650,500,445,685,205,325
93500,650,500,350,500,500,280,305,660,520,500,695,500,445,720,705,335
94500,515,465,350,500,455,500,835,695,445,500,740,545,465,500,205,335
95500,455,485,442,661,481,770,680,725,448,612,509,418,462,275,310,275
96500,455,485,442,661,481,770,680,725,448,612,509,418,462,275,310,275
97500,455,440,438,594,481,660,605,669,432,487,572,339,470,340,430,219
98500,549,388,472,582,538,740,580,570,545,515,558,339,519,210,515,445
99500,549,518,410,624,530,900,420,0,545,560,562,406,519,270,515,720
100500,455,485,442,661,481,825,705,50,448,612,509,418,462,260,570,1000
101500,455,440,438,594,481,900,680,0,432,487,572,339,470,230,545,1000
102500,549,388,472,582,538,870,720,115,545,515,558,339,519,195,540,935
103500,455,485,442,661,481,780,745,595,448,612,509,418,462,215,235,385
104500,455,485,442,661,481,695,625,595,380,612,509,418,462,215,410,385
105500,445,485,442,630,481,610,580,595,380,612,380,418,460,335,520,385
106500,440,485,442,661,481,610,580,595,380,612,380,418,385,335,520,385
107500,430,485,442,661,481,610,580,595,380,612,380,418,255,335,520,385
108500,420,485,442,661,481,730,405,30,380,612,305,580,115,215,235,585
109500,420,485,442,661,481,730,575,30,380,612,305,580,115,500,270,965
110500,420,485,442,661,481,730,405,30,380,612,305,580,115,205,365,1000
113500,440,485,442,661,481,650,550,0,380,612,305,580,115,235,270,1000
114500,440,485,442,661,481,805,460,125,380,612,305,415,245,225,290,930
115500,440,485,442,661,481,655,460,320,380,612,305,415,245,225,290,745
116500,440,485,442,661,481,695,625,120,380,612,545,425,385,180,280,495
117500,440,485,442,661,481,695,625,120,380,612,545,425,385,180,280,550
118500,440,485,442,661,460,565,495,200,415,612,545,425,440,235,290,930
119500,525,485,442,620,535,565,495,670,460,612,545,425,440,235,160,810
120500,525,485,442,620,535,565,800,725,460,612,545,425,515,320,325,295
121500,552,455,444,624,538,575,800,685,538,545,556,376,519,425,245,310
122000,549,388,472,582,538,640,820,585,545,515,558,339,519,295,275,415
122500,455,440,438,594,481,540,715,530,432,487,572,339,470,525,225,425
123000,455,485,442,661,481,725,800,540,448,612,509,418,462,350,200,490
123500,549,518,410,624,530,705,670,545,545,560,562,406,519,370,320,420
124000,549,388,472,582,538,715,820,500,545,515,558,339,519,340,200,525
124500,500,440,438,594,481,675,725,520,432,487,572,339,470,385,310,505
125000,455,485,442,661,481,685,800,550,448,612,509,418,462,305,200,490
125500,549,518,410,624,530,685,670,585,545,560,562,406,519,295,405,420
126000,549,388,472,582,538,675,800,595,545,515,558,339,519,320,200,425
126500,455,440,438,594,481,620,700,640,432,487,572,339,470,325,365,380
127000,455,485,442,661,481,715,800,595,448,612,509,418,462,315,200,395
127500,549,518,410,624,530,640,635,570,545,560,562,406,519,390,385,385
128000,552,455,444,624,538,760,755,585,538,545,556,376,519,220,295,385
128500,525,485,442,620,535,565,800,725,460,612,545,425,515,320,325,295
129000,552,455,444,624,538,575,800,725,538,545,556,376,519,425,200,275
129500,550,317,526,546,550,575,800,725,450,546,474,317,450,425,200,275
130500,495,317,526,546,495,610,635,60,535,546,474,317,430,750,840,395
132500,550,317,526,546,550,575,660,0,450,546,474,317,495,785,820,425
133500,495,317,526,546,550,575,660,0,350,546,474,317,540,785,820,425
135500,460,317,526,505,590,1000,550,0,285,470,474,317,540,395,645,195
137000,440,317,526,505,590,575,660,0,240,470,474,317,540,785,820,425
138000,440,317,526,505,515,575,660,0,240,470,535,330,485,785,820,425
139000,440,317,526,505,450,1000,555,0,425,535,535,395,485,45,430,445
140000,440,317,526,505,450,305,250,35,425,535,535,395,485,655,230,945
142000,440,317,526,505,450,305,250,35,425,535,535,395,485,655,230,945
143000,500,500,265,500,500,785,705,390,500,500,715,500,500,185,370,870
144000,650,500,350,500,500,710,680,795,540,500,685,500,465,460,205,250
145000,500,500,500,500,500,785,835,390,540,535,640,500,500,185,195,620
146000,500,500,500,360,500,785,410,30,540,535,640,500,500,860,765,395
147500,500,500,575,360,500,785,410,30,540,535,705,500,500,860,765,395
148500,500,500,500,500,500,765,835,390,540,535,640,500,500,315,195,620
149500,650,500,350,500,500,785,835,175,540,500,650,465,490,185,400,920
