timestamp_ms,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,500,500,305,500,500,500,810,705,500,500,715,500,500,500,85,295
30000,500,500,305,500,500,500,810,705,500,500,715,500,500,500,95,295
33000,500,500,305,500,500,500,810,705,500,500,715,500,500,500,85,295
34000,725,500,305,500,565,555,585,705,565,500,715,500,510,500,260,305
35000,630,435,280,430,675,425,675,0,510,515,810,620,590,190,300,610
36000,655,500,345,535,730,400,740,0,500,525,725,500,610,70,255,555
40000,655,500,345,535,730,400,740,0,500,525,725,500,610,70,255,555
42000,480,500,325,540,490,795,785,405,365,545,665,500,425,650,65,1000
43000,500,500,305,500,500,365,310,775,350,500,715,500,450,345,550,180
44000,500,320,490,535,485,435,405,735,345,500,715,500,435,755,525,320
45000,435,330,490,455,475,490,330,735,345,215,650,500,440,830,525,320
46000,435,330,490,500,425,260,280,705,380,620,500,380,335,770,540,295
48000,500,500,305,500,500,705,705,555,500,500,715,500,500,350,130,480
49000,500,500,305,500,500,555,745,705,500,500,715,500,500,500,95,295
50000,650,500,305,500,605,500,600,705,540,500,715,500,550,500,140,295
52000,610,490,285,350,625,500,580,175,600,495,695,470,570,500,160,305
54000,525,565,370,145,625,370,515,725,600,495,695,470,580,685,160,305
55000,525,565,370,145,625,370,515,725,600,495,695,470,580,685,160,305
56000,525,530,665,445,625,695,200,765,600,495,695,395,580,305,695,220
57000,525,530,665,445,625,215,820,785,600,495,640,330,580,280,555,225
59000,525,530,665,445,625,370,785,0,600,495,640,395,580,260,130,965
60000,525,530,665,445,625,210,465,0,600,495,650,395,580,260,545,1000
61000,525,245,470,445,625,425,805,65,600,495,650,395,580,195,575,1000
62000,665,440,360,545,635,515,575,350,545,495,650,395,570,195,380,630
63000,690,500,305,480,630,315,805,65,490,545,655,485,540,200,565,1000
64000,575,510,245,475,505,750,450,0,375,515,580,390,370,205,190,1000
66000,575,510,245,475,505,785,450,0,375,515,580,390,370,205,190,1000
68000,645,500,305,500,560,500,580,705,505,500,715,500,500,500,175,295
69000,540,465,305,455,555,805,735,520,500,500,715,500,525,250,85,470
70000,635,500,305,500,565,500,585,435,515,520,705,510,510,465,325,520
71000,445,325,515,490,590,500,770,695,565,500,715,520,560,500,75,335
72000,445,455,610,360,555,215,485,760,585,510,695,485,550,315,160,250
74000,635,390,350,425,595,705,560,730,535,510,790,615,530,295,230,295
75000,610,390,350,425,515,780,680,645,515,510,790,615,490,295,165,395
77000,520,490,240,405,560,325,715,760,510,530,690,535,540,310,680,295
79000,500,445,350,520,525,730,225,785,400,530,720,520,445,295,210,295
81000,520,410,330,370,505,565,575,590,415,465,870,675,465,425,280,435
82500,500,204,916,819,500,538,800,725,500,796,84,181,500,462,115,275
83500,500,387,500,593,500,575,585,420,500,612,500,406,500,425,285,605
85500,500,204,916,819,500,865,635,510,500,796,84,181,500,245,160,515
86500,500,387,500,593,500,575,800,724,500,612,500,406,500,425,145,275
88500,500,204,916,819,500,645,595,0,500,796,84,181,500,900,525,400
90500,500,204,916,819,500,645,595,0,500,796,84,181,500,900,525,465
92500,495,490,250,430,495,820,470,30,500,610,580,475,475,205,170,855
93500,500,500,340,545,500,465,260,0,475,500,650,400,500,825,360,405
94500,515,500,210,355,480,580,285,0,480,500,685,490,480,885,260,330
96500,510,500,320,545,500,280,305,660,390,415,785,510,395,685,585,325
97500,570,465,350,500,575,520,750,660,510,500,740,545,510,500,95,300
98500,555,355,560,540,595,770,680,725,550,612,550,460,580,275,190,275
99500,555,335,560,530,595,770,430,725,495,612,550,460,535,275,225,275
100500,470,270,530,465,520,540,530,745,440,612,550,460,500,240,235,275
101500,600,485,335,465,575,770,565,550,530,625,560,515,520,240,235,415
102500,600,485,335,465,575,575,555,330,530,625,560,515,520,175,345,1000
103500,600,485,335,465,575,770,390,115,530,625,560,515,520,240,140,1000
104500,600,485,335,465,575,770,390,115,530,625,560,515,520,240,140,1000
105500,600,485,335,465,575,770,390,115,530,625,560,515,520,240,140,1000
106500,600,485,335,465,575,770,715,485,530,625,560,515,520,240,140,505
107500,600,485,335,465,575,770,605,570,530,625,560,515,520,240,290,375
109500,600,440,415,345,655,605,560,570,595,585,660,515,585,330,290,375
110500,600,440,610,495,740,605,560,570,595,585,660,535,585,495,180,290
112500,600,440,555,300,750,605,450,570,595,585,660,515,585,495,310,475
113500,600,440,555,300,900,160,345,600,595,585,660,515,585,365,245,1000
114500,600,440,555,300,900,160,345,600,595,585,660,515,585,365,245,1000
115500,600,440,555,300,900,160,345,600,595,585,660,515,585,365,245,1000
118500,600,440,555,300,900,855,685,35,595,585,660,515,585,350,415,1000
119500,600,440,565,465,790,855,685,35,595,585,660,515,585,350,415,1000
120500,600,440,490,595,660,855,685,465,595,585,660,560,585,200,285,900
121500,600,440,490,595,660,855,685,465,595,585,660,550,585,200,285,900
122500,610,440,325,465,605,780,630,60,595,585,605,515,605,330,500,760
123500,540,430,442,585,560,930,650,135,520,580,565,405,505,455,355,350
