timestamp_ms,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,500,500,305,500,500,500,810,705,500,500,715,500,500,500,195,295
30000,500,500,305,500,500,500,810,705,500,500,715,500,500,500,195,295
33000,500,500,305,500,500,500,810,705,500,500,715,500,500,500,195,295
34000,500,500,305,500,565,500,605,705,415,500,715,500,565,500,410,295
35000,500,500,305,500,420,840,665,440,415,500,715,500,380,615,270,990
36000,500,500,195,340,420,840,665,440,360,500,640,500,305,615,270,990
41000,500,500,195,340,420,840,665,440,360,500,640,500,305,615,270,990
42000,705,500,305,500,585,315,805,0,560,500,715,500,555,190,325,565
43000,705,500,305,500,585,650,265,765,555,500,715,500,510,665,680,320
44000,705,500,305,500,585,260,405,665,560,500,715,500,530,590,590,320
45000,520,500,440,500,655,150,400,695,575,500,715,500,595,435,725,305
46000,1000,360,305,500,770,260,280,705,610,500,715,500,635,770,705,295
48000,500,500,305,500,500,705,705,555,500,500,715,500,500,205,345,480
49000,500,500,305,500,500,500,810,705,500,500,715,500,500,500,195,295
50000,500,500,305,500,500,500,645,705,360,500,715,500,410,500,445,295
52000,455,500,305,500,465,500,645,605,380,500,550,480,430,500,445,815
54000,445,500,305,500,500,335,645,705,360,500,440,620,455,675,445,295
55000,435,500,305,500,500,335,645,705,360,500,440,620,455,675,445,295
56000,415,480,325,565,455,675,125,800,360,500,440,620,410,350,910,255
57000,415,480,325,565,455,675,290,800,360,500,440,645,410,850,170,255
58000,445,500,285,535,500,780,795,120,500,500,520,750,515,700,150,1000
59000,455,500,240,445,545,815,295,65,500,500,520,750,550,665,675,1000
60000,450,480,305,480,520,815,295,65,425,675,520,560,465,700,150,1000
61000,455,500,305,480,455,815,435,435,315,545,655,485,365,570,335,715
62000,540,500,305,480,490,815,295,65,380,545,655,485,385,700,150,1000
63000,705,500,300,500,635,785,785,0,445,535,570,415,500,305,490,970
65000,705,500,300,500,635,785,785,0,445,535,570,415,500,305,490,970
67000,500,500,305,500,500,500,645,705,360,500,715,500,500,500,445,295
68000,500,500,305,500,500,805,735,520,425,500,715,500,480,250,280,460
69000,490,500,305,500,480,500,625,565,405,500,695,565,455,500,400,500
70000,445,500,330,500,500,500,835,695,545,490,605,500,470,500,205,335
71000,425,500,315,500,500,705,715,695,545,490,440,500,415,880,500,160
73000,500,490,295,455,480,665,750,695,400,605,640,595,465,220,380,285
74000,535,545,360,555,550,705,735,675,505,575,680,585,465,295,285,295
76000,555,490,350,500,515,705,215,760,540,585,650,595,510,740,135,295
78000,620,445,425,520,470,760,670,785,540,605,640,565,465,295,785,295
80000,565,495,330,445,440,565,675,600,470,455,845,700,410,425,365,435
81500,500,204,916,819,500,538,800,725,500,796,84,181,500,462,200,275
82500,500,387,500,593,500,575,585,420,500,612,500,406,500,425,285,605
84500,500,204,916,819,500,830,600,565,500,796,84,190,500,290,315,495
85500,500,387,500,593,500,575,800,724,500,612,500,406,500,425,200,275
87500,500,204,916,819,500,145,275,570,500,796,84,181,500,395,285,1000
89500,500,204,916,819,500,145,275,570,500,796,84,181,500,395,285,1000
90500,485,490,380,565,510,785,750,175,540,510,670,540,480,185,400,920
91500,500,500,295,500,500,200,500,605,500,500,650,500,500,575,730,1000
92500,500,500,275,500,500,0,750,775,500,500,650,500,480,410,740,1000
93500,510,465,365,555,500,280,305,660,520,415,805,455,445,685,205,325
94500,650,500,265,520,500,280,305,660,520,500,705,500,445,720,705,335
95500,515,465,350,500,455,500,835,695,445,500,740,545,465,500,205,335
96500,455,485,442,661,481,770,680,725,448,612,509,418,462,275,310,275
97500,455,485,448,661,481,770,680,725,425,612,509,418,462,275,456,275
98500,445,485,448,661,481,661,680,725,425,612,509,418,462,456,456,275
99500,445,485,472,661,481,740,580,570,440,535,612,418,462,210,515,445
100500,525,518,410,624,530,900,420,0,505,560,562,406,519,270,515,720
101500,455,485,442,661,481,825,705,50,448,612,509,418,462,260,570,1000
102500,455,485,438,661,481,900,680,0,448,612,509,418,462,230,545,1000
103500,455,485,472,661,481,870,720,115,448,612,509,418,462,195,540,935
104500,455,485,442,661,481,780,745,595,448,612,509,418,462,215,235,385
105500,455,485,442,661,481,695,625,595,455,612,509,418,462,215,410,385
107500,445,475,440,705,481,610,580,595,380,612,380,385,460,335,520,385
108500,420,485,320,500,481,610,580,595,380,612,380,418,385,335,520,385
110500,420,540,250,545,481,610,580,595,380,612,380,418,255,335,520,385
111500,440,455,442,661,481,730,575,30,380,612,305,580,115,500,270,965
112500,440,530,355,640,481,730,405,30,380,612,305,580,115,205,365,1000
115500,430,485,442,705,481,650,550,0,380,612,305,580,115,235,270,1000
116500,440,485,442,661,481,805,460,125,380,612,305,415,245,225,290,930
117500,430,485,442,661,481,655,460,320,380,612,305,415,245,225,290,745
118500,440,485,442,661,481,695,625,120,380,612,545,425,385,180,280,495
119500,440,485,442,661,481,695,625,120,380,612,545,425,385,180,280,550
120500,440,485,442,661,460,565,495,200,415,612,545,425,440,235,290,930
121500,525,485,442,620,535,565,495,670,460,612,545,425,440,235,160,810
122500,525,485,442,620,535,565,800,725,460,612,545,425,515,320,325,295
123500,552,455,444,624,538,575,800,685,538,545,556,376,519,425,245,310
124000,549,388,472,582,538,640,820,585,545,515,558,339,519,295,275,415
124500,455,440,438,594,481,540,715,530,432,487,572,339,470,525,225,425
125000,455,485,442,661,481,725,800,540,448,612,509,418,462,350,200,490
125500,549,518,410,624,530,705,670,545,545,560,562,406,519,370,320,420
126000,549,388,472,582,538,715,820,500,545,515,558,339,519,340,200,525
126500,500,440,438,594,481,675,725,520,432,487,572,339,470,385,310,505
127000,455,485,442,661,481,685,800,550,448,612,509,418,462,305,200,490
127500,549,518,410,624,530,685,670,585,545,560,562,406,519,295,405,420
128000,549,388,472,582,538,675,800,595,545,515,558,339,519,320,200,425
128500,455,440,438,594,481,620,700,640,432,487,572,339,470,325,365,380
129000,455,485,442,661,481,715,800,595,448,612,509,418,462,315,200,395
129500,549,518,410,624,530,640,635,570,545,560,562,406,519,390,385,385
130000,552,455,444,624,538,760,755,585,538,545,556,376,519,220,295,385
130500,525,485,442,620,535,565,800,725,460,612,545,425,515,320,325,295
131000,552,455,444,624,538,575,800,725,538,545,556,376,519,425,200,275
131500,550,317,526,546,550,575,800,725,450,546,474,317,450,425,200,275
132500,495,317,526,546,495,610,635,60,535,546,474,317,430,640,740,395
133500,550,317,526,546,550,575,660,0,450,546,474,317,495,785,820,425
134500,495,317,526,546,550,575,660,0,350,546,474,317,540,665,775,425
135500,485,317,526,505,590,1000,550,0,240,470,474,317,540,395,645,195
137000,475,317,526,505,590,575,660,0,240,470,474,317,540,710,765,425
138000,440,317,526,505,515,575,660,0,240,470,535,330,485,715,700,425
139000,440,317,526,505,450,1000,555,0,425,535,535,395,485,45,430,445
140000,440,317,526,505,450,305,250,35,425,535,535,395,485,655,230,945
142000,440,317,526,505,450,305,250,35,425,535,535,395,485,655,230,945
